ipv,ips,iaa,ieg,nº_av,ida,defasagem
7.833,5.0,9.0,9.6,3.0,5.7,0
7.5,7.5,8.0,9.7,3.0,6.3,-1
8.056,5.0,3.5,8.5,3.0,6.3,-1
7.056,7.5,9.0,7.0,3.0,2.0,-1
5.889,7.5,8.0,6.1,3.0,4.3,-1
6.0,7.5,9.5,9.1,3.0,3.0,-1
7.667,7.5,8.5,9.2,3.0,5.8,-1
7.556,4.4,9.0,9.3,3.0,5.5,-1
4.5,5.6,0.0,5.0,3.0,0.7,-1
7.056,5.6,8.5,9.1,3.0,4.9,-1
9.5,7.5,8.0,9.2,3.0,9.8,-1
8.444,7.5,9.0,8.8,3.0,6.3,-1
6.889,7.5,9.0,8.0,3.0,5.2,0
6.833,7.5,10.0,7.9,3.0,5.5,-1
6.833,5.0,9.0,4.8,3.0,2.4,-1
6.389,5.0,9.5,8.7,3.0,6.5,-1
5.444,7.5,9.5,4.0,3.0,1.2,-1
7.222,7.5,10.0,9.9,3.0,7.3,-1
9.333,7.5,7.5,9.7,3.0,9.6,-1
7.722,7.5,8.5,8.8,3.0,7.3,-1
6.5,7.5,9.0,7.2,3.0,0.0,0
8.722,7.5,7.9,8.2,3.0,7.7,-1
7.722,7.5,7.5,9.7,3.0,7.0,-1
8.278,7.5,10.0,8.8,3.0,7.1,-1
8.278,7.5,10.0,9.4,3.0,7.2,0
6.944,5.0,6.4,8.3,3.0,5.8,-1
8.056,7.5,9.0,8.9,3.0,8.4,-1
7.556,7.5,8.5,6.8,3.0,5.7,-1
5.833,5.0,6.9,9.2,3.0,5.1,-2
7.556,7.5,8.5,8.8,3.0,8.8,-1
7.444,7.5,8.5,10.0,3.0,8.2,-1
7.889,7.5,9.0,10.0,3.0,9.5,-1
7.333,7.5,8.5,8.8,3.0,6.8,0
7.778,7.5,9.5,9.7,3.0,7.4,1
7.5,7.5,8.5,10.0,3.0,8.8,-1
7.556,7.5,8.5,8.9,3.0,8.0,0
7.556,7.5,9.5,8.0,3.0,8.4,-1
7.278,7.5,9.5,7.3,3.0,7.2,-2
7.222,7.5,8.5,10.0,3.0,7.4,-1
7.556,7.5,8.0,7.4,3.0,4.5,-1
7.833,7.5,9.0,8.2,3.0,9.2,-2
7.056,7.5,8.0,9.3,3.0,7.1,-2
7.056,7.5,8.0,10.0,3.0,5.3,-1
7.722,7.5,9.0,9.3,3.0,6.2,-1
7.778,5.6,9.0,9.6,3.0,8.3,0
5.889,7.5,8.0,9.7,3.0,4.8,0
7.556,7.5,8.0,6.3,3.0,5.8,-2
8.056,7.5,10.0,9.7,3.0,9.9,0
7.833,7.5,6.9,9.5,3.0,7.7,-2
7.5,7.5,9.0,9.4,3.0,7.5,-1
7.333,7.5,7.4,9.6,3.0,7.5,0
7.278,7.5,10.0,6.8,3.0,6.8,-1
