number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_recall_std,state
41,0.8893617021276595,2026-02-05 23:06:18.134644,2026-02-05 23:06:18.349658,0 days 00:00:00.215014,0.9309954240020444,0.133858708164813,0.2786970551853281,3,2,477,0.2533380516514937,0.8425093401761927,0.7894012343676909,0.01845062416057769,COMPLETE
42,0.8927659574468085,2026-02-05 23:06:18.762215,2026-02-05 23:06:19.024848,0 days 00:00:00.262633,0.9697109957102791,0.12746580134373223,0.23976605619432462,3,2,477,0.2523767323994341,0.8501544504376661,0.7895379476778619,0.0168931346734291,COMPLETE
43,0.8757446808510638,2026-02-05 23:06:19.417414,2026-02-05 23:06:19.674791,0 days 00:00:00.257377,0.9711992598437502,0.13008037509552,0.18165527801324258,3,1,478,0.2482336734882277,0.8655441991720793,0.8122419624722589,0.014342382592640581,COMPLETE
44,0.868936170212766,2026-02-05 23:06:20.043955,2026-02-05 23:06:20.231053,0 days 00:00:00.187098,0.9099536541861326,0.4301194397249982,0.24390647706986426,4,3,480,0.31260205758048176,0.9238294801411229,0.790140357742387,0.010561424379566703,COMPLETE
45,0.8817021276595745,2026-02-05 23:06:20.604096,2026-02-05 23:06:20.866625,0 days 00:00:00.262529,0.935265984966347,0.10286470103980185,0.293422678403956,5,1,500,0.06329081647163498,0.6441134172804603,0.7451959456774029,0.007321127886844752,COMPLETE
46,0.8800000000000001,2026-02-05 23:06:21.275839,2026-02-05 23:06:21.516688,0 days 00:00:00.240849,0.9664310045261529,0.1707258552518226,0.2151620533055499,3,2,434,0.248695142979163,0.8624774796457448,0.7877133309353594,0.013828150475976072,COMPLETE
47,0.8365957446808512,2026-02-05 23:06:21.853383,2026-02-05 23:06:21.977785,0 days 00:00:00.124402,0.997906659156371,0.1220349299758334,0.2577659080853584,3,1,204,0.14810912618150934,0.795944988148916,0.7519326434117029,0.018371943102062072,COMPLETE
48,0.8697872340425533,2026-02-05 23:06:22.359280,2026-02-05 23:06:22.597351,0 days 00:00:00.238071,0.9143897243421902,0.20606412519175504,0.1437552457207336,4,2,480,0.3218996302928897,0.574264846400102,0.8255172865042014,0.014392795340670434,COMPLETE
49,0.8553191489361701,2026-02-05 23:06:22.986774,2026-02-05 23:06:23.227120,0 days 00:00:00.240346,0.8863585809699095,0.24792161986071337,0.17864036321589058,8,3,452,0.4464470823159962,0.9339743429198463,0.7851047454824822,0.020672268598282785,COMPLETE
50,0.7531914893617021,2026-02-05 23:06:23.576807,2026-02-05 23:06:23.790972,0 days 00:00:00.214165,0.7125472634316612,0.08676917479464699,0.049334554344280857,3,4,426,0.5066953622610448,0.8545396914070272,0.8146127974113117,0.03103758728308165,COMPLETE
51,0.8800000000000001,2026-02-05 23:06:24.165956,2026-02-05 23:06:24.401244,0 days 00:00:00.235288,0.938517379131522,0.10159927733976004,0.2984037888701179,5,1,499,0.026202431426939655,0.6611968242438506,0.7473963494106157,0.018915838953951356,COMPLETE
52,0.8629787234042553,2026-02-05 23:06:24.753006,2026-02-05 23:06:24.987574,0 days 00:00:00.234568,0.9335739012368387,0.13179004236009656,0.267331583966361,7,1,489,0.06055408357335394,0.6385134481083219,0.734973385060383,0.026560828143535716,COMPLETE
